"V1" "V2" "V3" "V4"
"1" 6.3 3.3 6 2.5
"2" 5.8 2.7 5.1 1.9
"3" 7.1 3 5.9 2.1
"4" 6.3 2.9 5.6 1.8
"5" 6.5 3 5.8 2.2
"6" 7.6 3 6.6 2.1
"7" 4.9 2.5 4.5 1.7
"8" 7.3 2.9 6.3 1.8
"9" 6.7 2.5 5.8 1.8
"10" 7.2 3.6 6.1 2.5
"11" 6.5 3.2 5.1 2
"12" 6.4 2.7 5.3 1.9
"13" 6.8 3 5.5 2.1
"14" 5.7 2.5 5 2
"15" 5.8 2.8 5.1 2.4
"16" 6.4 3.2 5.3 2.3
"17" 6.5 3 5.5 1.8
"18" 7.7 3.8 6.7 2.2
"19" 7.7 2.6 6.9 2.3
"20" 6 2.2 5 1.5
"21" 6.9 3.2 5.7 2.3
"22" 5.6 2.8 4.9 2
"23" 7.7 2.8 6.7 2
"24" 6.3 2.7 4.9 1.8
"25" 6.7 3.3 5.7 2.1
"26" 7.2 3.2 6 1.8
"27" 6.2 2.8 4.8 1.8
"28" 6.1 3 4.9 1.8
"29" 6.4 2.8 5.6 2.1
"30" 7.2 3 5.8 1.6
"31" 7.4 2.8 6.1 1.9
"32" 7.9 3.8 6.4 2
"33" 6.4 2.8 5.6 2.2
"34" 6.3 2.8 5.1 1.5
"35" 6.1 2.6 5.6 1.4
"36" 7.7 3 6.1 2.3
"37" 6.3 3.4 5.6 2.4
"38" 6.4 3.1 5.5 1.8
"39" 6 3 4.8 1.8
"40" 6.9 3.1 5.4 2.1
"41" 6.7 3.1 5.6 2.4
"42" 6.9 3.1 5.1 2.3
"43" 5.8 2.7 5.1 1.9
"44" 6.8 3.2 5.9 2.3
"45" 6.7 3.3 5.7 2.5
"46" 6.7 3 5.2 2.3
"47" 6.3 2.5 5 1.9
"48" 6.5 3 5.2 2
"49" 6.2 3.4 5.4 2.3
"50" 5.9 3 5.1 1.8
"51" 6.1 3.7 6.4 1.7
"52" 6.1 3.2 6.5 2.1
"53" 7.3 2.3 5.9 1.7
"54" 7.6 3.6 4.8 1.8
"55" 7.2 3.4 5.2 1.9
"56" 5 3.3 5.3 1.5
"57" 5.3 2.8 5.5 1.5
"58" 7.5 2.8 5.8 2.3
"59" 7 2.2 5.7 2.5
"60" 5.7 3.6 4.6 1.7
"61" 6.4 3.7 5.9 1.7
"62" 6 2.3 6.5 1.5
"63" 7.8 2.8 6 2.3
"64" 7 2.6 5.9 1.9
"65" 5.4 2.5 4.9 1.8
"66" 7.7 3.5 6.4 1.9
"67" 6.4 2.7 5.4 2.4
"68" 5.2 3.1 6.1 2.3
"69" 6 3.4 5.6 2.3
"70" 5.1 3.4 5 1.7
"71" 6.4 2.2 6.5 1.9
"72" 5.7 2.6 5.4 1.9
"73" 7.8 3.4 6.2 2.4
"74" 5 2.7 6.6 1.7
"75" 7.4 2.4 6.9 1.8
"76" 7.6 2.3 5.9 2.5
"77" 7.3 3.6 5.9 2.4
"78" 5.8 2.5 6.1 2.2
"79" 5 2.7 5.2 1.4
"80" 5.2 3.1 6.6 1.7
"81" 5.5 2.2 4.6 2.2
"82" 7.8 2.4 6.2 1.9
"83" 6.2 2.6 6.8 1.8
"84" 6 2.4 6.5 1.7
"85" 6.3 2.8 5.7 2.1
"86" 7 3.6 5.2 2.1
"87" 7.4 2.9 5.8 2.1
"88" 5.4 3.6 5.2 2.4
"89" 6.2 3.3 5.6 2
"90" 6 3.3 6.5 1.6
"91" 5.2 3.7 6.8 1.8
"92" 7 3.1 6.4 2.1
"93" 7.4 2.2 6.1 1.8
"94" 5.9 3.6 5.5 1.5
"95" 7.3 2.8 6.8 2.1
"96" 6.4 3.3 5.6 1.9
"97" 6.8 2.8 4.6 1.5
"98" 7 3.6 5.1 1.9
"99" 5.6 2.5 5.2 1.6
"100" 7.1 3.3 5 1.8
"101" 7 3.2 4.8 1.6
"102" 6.9 2.3 4.6 1.7
"103" 7.6 3.6 5.5 1.6
"104" 5.2 2.3 6.3 1.6
"105" 6.1 2.5 5.7 2.2
"106" 6.7 3.4 4.9 1.7
"107" 5.9 3.7 6.1 1.8
"108" 7.2 2.3 4.8 1.8
"109" 5.4 2.3 6 1.9
"110" 6.8 3.3 5.9 1.4
"111" 7.4 2.5 4.8 1.6
"112" 7 2.6 5.5 1.6
"113" 6.5 3 4.7 1.7
"114" 5.6 3.7 5.9 2.1
"115" 6.2 3.5 5.8 2.4
"116" 7 3.7 4.8 2.4
"117" 5.6 2.4 5.7 1.4
"118" 6 3.5 5.9 1.9
"119" 6 2.9 6.7 1.8
"120" 7.4 2.3 6.2 2.4
"121" 6.1 3.2 5.2 1.7
"122" 7.1 2.5 5.8 1.9
"123" 5 2.9 6.2 1.5
"124" 6.2 3.6 6.1 2
"125" 5.1 3 5 1.5
"126" 6 3.4 4.6 1.7
"127" 6.2 3.2 4.6 2.1
"128" 7.3 3 6.1 1.4
"129" 5 3.7 6.7 2.3
"130" 6.1 2.7 6.6 1.8
"131" 7.5 3.1 5.4 1.6
"132" 5.3 2.2 4.9 2.2
"133" 7 3.1 6.3 1.6
"134" 7.7 2.3 5.9 1.7
"135" 7.1 3.2 5.9 1.9
"136" 5.4 3.8 4.9 2.1
"137" 6.8 2.4 4.9 2.1
"138" 5 2.4 5.7 1.9
"139" 5.6 2.3 5.1 1.9
"140" 5.1 2.7 4.6 1.5
"141" 5.7 3.3 5.7 1.9
"142" 6.6 3 6.5 2.3
"143" 7.7 3.7 6.7 1.6
"144" 6.3 3.3 6 1.8
"145" 5.8 3.5 5.7 2.1
"146" 6.5 3.1 6.7 2.3
"147" 7.1 2.8 4.6 2.4
"148" 6.8 2.4 5.3 1.8
"149" 5.4 2.9 6.6 2.1
"150" 5 2.4 5.2 2.3
"151" 6.8 3.1 5.6 1.7
"152" 5.6 3.7 5.1 1.4
"153" 6.5 3.5 4.6 1.8
"154" 4.9 3.4 6.2 1.8
"155" 7.5 2.7 6 2.2
"156" 5.2 3.3 6.7 2.1
"157" 5.7 3.1 6 1.8
"158" 6.3 3.2 4.8 2.3
"159" 6.5 2.8 4.9 1.4
"160" 6.7 3.5 5.3 2.2
"161" 6.4 3 6.6 2.4
"162" 6.9 2.8 6.1 1.5
"163" 6.6 3 6.4 1.7
"164" 7.8 3.6 6.8 2.5
"165" 6.8 3.7 4.6 1.7
"166" 7.1 2.8 5.7 1.6
"167" 6.1 2.5 6.4 1.8
"168" 5.6 3 5.5 2.3
"169" 7.1 3 5.8 1.9
"170" 6.8 2.4 5.8 1.8
"171" 5.3 2.4 6.4 2.2
"172" 7.3 3.2 5 2.1
"173" 6.5 3.2 4.7 2.2
"174" 6.6 3 5.7 1.5
"175" 5.8 3.3 4.6 1.4
"176" 7.6 3 6.9 2.2
"177" 6.5 2.7 5.9 2.3
"178" 5 3.1 6.5 1.5
"179" 5 2.9 4.9 1.6
"180" 4.9 3.1 6.2 2.3
"181" 6 3.5 5.8 2.2
"182" 7 3.1 5 1.4
"183" 7.2 3.8 6.9 2
"184" 5 3.3 5.7 1.6
"185" 7.4 3.4 6.4 2.1
"186" 6.8 3 4.6 1.8
"187" 7.1 3.6 5 2.2
"188" 7.4 2.2 6.6 1.5
"189" 5.1 2.7 5.6 2.2
"190" 5.2 3.1 5.5 1.6
"191" 4.9 3.5 6.2 2.1
"192" 6.7 3.7 6 1.7
"193" 5.4 3.8 5 2.2
"194" 6.9 3.8 4.7 2.3
"195" 4.9 3.6 5.7 1.6
"196" 5.8 2.4 6.4 2.3
"197" 4.9 3.7 5.8 1.6
"198" 6.9 2.7 5.7 2.1
"199" 7.6 2.8 4.9 1.9
"200" 5.9 2.7 6.3 1.5
"201" 7.2 2.6 5.3 2.1
"202" 5.2 2.4 4.5 2.3
"203" 6.4 3.1 6.9 1.5
"204" 7.7 3.3 5.4 1.8
"205" 6.5 3.7 5.7 2.4
"206" 6.9 2.3 4.5 1.6
"207" 5.2 2.6 5.1 2.4
"208" 7.6 3.2 6 1.7
"209" 7.4 3 5.5 2.3
"210" 5.8 3.6 6.5 2.1
"211" 5.5 2.4 5.7 2.2
"212" 6.4 3.3 5.3 1.7
"213" 5.4 3.7 5.5 1.6
"214" 5.8 2.5 4.9 1.4
"215" 5.8 2.3 4.7 2.3
"216" 5 3.4 4.9 1.5
"217" 6.3 3.5 4.6 1.4
"218" 6.9 3.6 6.1 2
"219" 7.5 3.7 6.8 2.2
"220" 7.4 2.4 6.4 1.7
"221" 6.2 2.2 4.8 1.6
"222" 5.2 3.2 6.3 1.5
"223" 7.4 2.3 6.2 2.1
"224" 5.3 3.5 6.4 2
"225" 5.9 2.3 5.7 2.4
"226" 5 3.1 4.5 1.8
"227" 5.9 3.4 5.1 2.4
"228" 6.8 3 5.5 1.5
"229" 7.8 2.6 5.4 2.1
"230" 5 3.7 4.9 2.2
"231" 7 3.3 4.9 1.6
"232" 7.6 2.9 6 1.7
"233" 5.5 2.9 4.9 1.8
"234" 6.5 3.7 6.8 1.4
"235" 7.2 2.9 5.1 2.2
"236" 6.3 2.2 5.1 1.5
"237" 5.1 3.2 6 2.5
"238" 6.9 2.9 6.1 2.3
"239" 5.7 2.2 4.8 1.9
"240" 7.7 3.3 6.3 1.6
"241" 5.6 3.5 5.3 2.4
"242" 5.4 2.7 5.6 1.6
"243" 6.5 2.7 6.6 2.4
"244" 7 3.1 5.6 1.6
"245" 7.1 3.4 6.2 2.4
