"V1" "V2" "V3" "V4" "V5"
"1" 1 23 3 1 19
"2" 2 15 3 1 17
"3" 1 23 3 2 49
"4" 1 5 2 2 33
"5" 2 7 11 2 55
"6" 2 23 3 1 20
"7" 2 9 5 2 19
"8" 2 10 3 2 27
"9" 1 22 3 1 58
"10" 2 15 3 1 20
"11" 2 10 22 2 9
"12" 2 13 1 2 30
"13" 2 18 21 2 29
"14" 2 6 17 2 39
"15" 1 23 3 1 19
"16" 2 15 3 1 17
"17" 1 23 3 2 49
"18" 1 5 2 2 33
"19" 2 7 11 2 55
"20" 2 23 3 1 20
"21" 2 9 5 2 19
"22" 2 10 3 2 27
"23" 1 22 3 2 58
"24" 2 15 3 1 20
"25" 2 10 22 2 9
"26" 2 13 1 2 30
"27" 2 18 21 2 29
"28" 2 6 17 2 39
"29" 1 23 3 1 25
"30" 1 13 3 1 17
"31" 2 16 19 2 11
"32" 2 9 2 2 39
"33" 2 13 3 1 11
"34" 2 18 21 2 19
"35" 1 22 3 2 45
"36" 2 7 11 1 20
"37" 2 23 3 1 20
"38" 1 23 3 1 20
"39" 1 23 3 2 38
"40" 2 14 22 2 17
"41" 1 17 17 2 19
"42" 2 9 5 2 24
"43" 2 18 25 2 25
"44" 1 17 17 2 31
"45" 2 1 15 2 31
"46" 2 13 14 2 17
"47" 2 9 6 2 7
"48" 1 10 3 2 21
"49" 2 14 15 2 36
"50" 1 13 1 2 54
"51" 1 8 3 2 29
"52" 2 20 2 2 45
"53" 2 12 6 1 21
"54" 1 19 13 1 9
"55" 2 18 25 2 45
"56" 2 18 11 2 57
"57" 2 18 10 2 37
"58" 2 11 10 1 33
"59" 2 9 6 2 54
"60" 1 12 3 2 28
"61" 1 8 20 1 11
"62" 1 16 9 2 33
"63" 2 17 9 2 20
"64" 2 18 19 1 47
"65" 2 14 22 1 55
"66" 2 17 13 2 24
"67" 2 16 17 2 10
"68" 2 15 2 2 12
"69" 2 21 7 1 36
"70" 2 17 21 2 28
"71" 2 5 5 2 50
"72" 1 2 7 1 17
"73" 2 14 25 1 53
"74" 2 11 25 2 14
"75" 2 12 2 2 54
"76" 1 4 21 2 17
"77" 2 16 15 1 57
"78" 1 8 21 2 25
"79" 1 7 4 2 55
"80" 1 10 11 1 27
"81" 2 7 6 1 26
"82" 2 15 20 1 17
"83" 2 16 18 1 37
"84" 1 16 8 2 43
"85" 1 23 3 1 42
"86" 1 9 10 2 19
"87" 2 15 3 1 38
"88" 1 2 24 1 26
"89" 2 13 4 2 58
"90" 1 7 13 2 57
"91" 1 13 20 2 44
"92" 1 21 2 2 34
"93" 1 4 4 1 10
"94" 2 3 2 1 34
"95" 2 19 21 2 54
"96" 1 15 11 2 19
"97" 1 4 13 2 9
"98" 1 22 16 1 53
"99" 1 7 21 2 9
"100" 1 7 23 1 54
"101" 2 13 5 2 50
"102" 2 13 2 2 49
"103" 2 21 3 1 50
"104" 1 4 19 2 51
"105" 1 6 19 2 30
"106" 2 18 14 2 58
"107" 2 10 1 1 8
"108" 1 11 21 1 53
"109" 2 4 22 2 31
"110" 1 7 21 2 21
"111" 1 8 4 2 40
"112" 2 8 17 2 35
"113" 2 10 15 1 20
"114" 2 8 24 2 41
"115" 2 9 3 1 23
"116" 1 7 16 2 56
"117" 2 21 11 2 38
"118" 2 5 11 2 29
"119" 2 17 13 2 13
"120" 1 4 19 1 39
"121" 2 9 21 1 23
"122" 1 2 4 2 33
"123" 1 16 9 2 30
"124" 1 15 7 2 21
"125" 1 18 17 2 37
"126" 1 15 20 1 19
"127" 2 3 6 2 53
"128" 2 10 12 2 55
"129" 1 11 25 1 43
"130" 1 11 14 2 34
"131" 2 7 4 2 22
"132" 2 9 23 2 55
"133" 1 13 4 1 16
"134" 1 19 10 2 54
"135" 2 19 13 2 18
"136" 2 1 8 2 46
"137" 2 19 10 1 36
"138" 2 7 15 1 54
"139" 1 3 9 1 19
"140" 1 4 20 2 51
"141" 1 21 16 2 19
"142" 2 3 9 1 40
"143" 2 21 17 1 25
"144" 2 15 13 1 28
"145" 2 11 24 1 44
"146" 1 11 6 2 25
"147" 2 4 13 2 33
"148" 1 20 18 2 17
"149" 1 8 18 2 47
"150" 1 14 15 1 53
"151" 1 2 16 2 55
"152" 1 8 14 2 34
"153" 1 22 15 2 24
"154" 2 4 17 2 54
"155" 1 12 4 2 18
"156" 1 20 18 2 37
"157" 2 9 10 1 9
"158" 2 19 17 1 24
"159" 1 6 3 2 18
"160" 2 1 5 1 49
"161" 2 15 14 2 32
"162" 2 15 15 2 14
"163" 2 4 16 2 43
"164" 2 18 4 2 52
"165" 1 7 13 1 39
"166" 2 10 24 2 42
"167" 1 20 14 2 28
"168" 2 19 7 2 42
"169" 2 6 15 1 32
"170" 2 11 15 1 50
"171" 2 20 14 1 42
"172" 2 16 18 1 20
"173" 2 2 9 2 12
"174" 2 2 6 1 49
"175" 1 23 6 1 7
"176" 2 18 20 2 35
"177" 1 21 24 2 26
"178" 1 22 17 1 28
"179" 2 14 23 1 47
"180" 2 22 22 1 52
"181" 1 22 17 2 40
"182" 1 14 7 1 38
"183" 2 11 19 1 40
"184" 2 19 21 1 44
"185" 1 22 13 1 38
"186" 2 21 8 1 43
"187" 1 4 21 1 15
"188" 2 12 13 1 52
"189" 1 10 13 2 57
"190" 2 20 19 1 42
"191" 1 7 18 2 25
"192" 1 14 12 2 30
"193" 1 19 16 1 18
"194" 2 13 22 2 50
"195" 2 20 11 2 47
"196" 1 6 22 2 11
"197" 1 3 17 2 26
"198" 1 9 7 1 24
"199" 2 3 12 2 24
"200" 1 21 2 1 43
"201" 2 12 18 2 51
"202" 2 21 7 1 13
"203" 1 22 1 2 46
"204" 1 5 21 2 16
"205" 1 10 7 2 27
"206" 2 14 21 2 7
"207" 2 5 6 2 19
"208" 1 16 12 1 18
"209" 2 15 4 2 47
"210" 2 21 3 1 21
"211" 2 22 9 2 52
"212" 2 13 12 2 9
"213" 2 7 17 2 8
"214" 2 17 6 1 48
"215" 2 19 19 2 38
"216" 1 6 11 1 54
"217" 2 6 15 2 16
"218" 2 11 9 2 45
"219" 2 21 12 1 52
"220" 2 8 19 2 22
"221" 2 6 12 1 39
"222" 1 17 18 2 55
"223" 1 2 21 2 9
"224" 2 2 6 1 41
"225" 1 4 19 2 9
"226" 1 15 23 2 46
"227" 2 4 8 2 35
"228" 2 9 4 2 35
"229" 2 15 2 1 45
"230" 1 11 1 2 7
"231" 2 15 15 1 28
"232" 1 19 10 2 35
"233" 1 7 3 2 27
"234" 1 12 6 1 53
"235" 1 5 6 2 11
"236" 2 7 13 1 13
"237" 1 3 23 2 27
"238" 2 23 21 1 53
"239" 1 4 12 1 19
"240" 2 11 9 1 34
"241" 2 1 12 1 14
"242" 2 17 2 2 52
"243" 1 10 18 2 32
"244" 2 17 15 2 25
"245" 2 12 22 2 26
"246" 1 19 23 2 18
"247" 2 21 20 1 7
"248" 1 7 21 1 35
"249" 1 13 2 2 31
"250" 1 9 2 1 13
"251" 1 8 5 1 24
"252" 1 18 11 1 47
"253" 2 21 18 1 17
"254" 1 13 18 2 52
"255" 1 9 21 1 13
"256" 2 13 5 2 9
"257" 1 6 7 1 28
"258" 1 1 12 2 48
"259" 2 20 20 1 57
"260" 2 18 3 1 31
"261" 2 12 15 1 38
"262" 1 17 14 1 42
"263" 1 20 13 2 44
"264" 1 16 18 1 55
"265" 2 10 12 2 46
"266" 1 2 18 2 23
"267" 1 5 15 1 29
"268" 2 7 16 2 56
"269" 1 9 20 1 44
"270" 2 7 3 2 10
"271" 1 7 21 2 30
"272" 2 16 4 1 32
