"V1" "V2" "V3" "V4" "V5"
"1" 2 6 17 2 42
"2" 2 6 17 2 43
"3" 2 7 11 2 10
"4" 2 22 3 2 46
"5" 2 13 3 1 10
"6" 2 7 25 2 42
"7" 2 25 7 2 27
"8" 2 25 7 2 23
"9" 2 2 9 2 31
"10" 2 1 15 1 22
"11" 2 15 13 2 37
"12" 2 7 11 2 13
"13" 2 8 3 2 24
"14" 2 14 15 2 38
"15" 2 6 17 2 42
"16" 2 6 17 2 43
"17" 2 7 11 2 10
"18" 2 22 3 2 46
"19" 2 13 3 1 10
"20" 2 7 25 2 42
"21" 2 25 7 2 27
"22" 2 25 7 2 23
"23" 2 2 9 2 31
"24" 2 1 15 1 22
"25" 2 15 13 2 37
"26" 2 7 11 2 13
"27" 2 8 3 2 24
"28" 2 14 15 2 38
"29" 2 1 8 2 18
"30" 1 11 16 2 22
"31" 1 22 13 2 27
"32" 2 9 2 2 14
"33" 2 13 1 2 20
"34" 1 6 17 2 35
"35" 2 23 3 1 20
"36" 1 23 3 1 20
"37" 2 6 17 2 37
"38" 1 22 3 2 15
"39" 2 20 2 2 25
"40" 2 23 3 2 10
"41" 2 22 1 2 11
"42" 2 18 12 2 16
"43" 2 20 15 2 18
"44" 1 17 18 2 44
"45" 2 14 23 2 17
"46" 2 24 26 2 21
"47" 2 9 24 2 20
"48" 2 12 8 2 24
"49" 2 9 6 2 5
"50" 2 22 1 2 42
"51" 2 10 8 2 6
"52" 1 14 23 1 9
"53" 2 11 24 2 21
"54" 2 16 25 2 22
"55" 2 22 11 2 24
"56" 2 9 7 2 16
"57" 1 18 15 2 19
"58" 1 7 7 2 9
"59" 1 4 12 1 13
"60" 1 5 2 2 39
"61" 2 12 10 2 36
"62" 2 22 3 2 28
"63" 1 7 17 1 32
"64" 2 4 10 1 46
"65" 1 1 25 2 6
"66" 1 5 14 2 34
"67" 2 24 20 2 6
"68" 2 8 19 2 45
"69" 1 8 10 1 39
"70" 1 15 22 1 44
"71" 1 5 16 2 33
"72" 1 6 13 1 32
"73" 2 9 16 2 21
"74" 1 2 5 1 34
"75" 1 14 3 2 6
"76" 1 6 17 2 16
"77" 2 12 14 2 35
"78" 2 3 19 2 20
"79" 2 12 24 2 24
"80" 2 5 12 2 34
"81" 2 7 23 2 38
"82" 2 8 1 2 16
"83" 1 11 14 2 29
"84" 1 22 14 2 24
"85" 2 5 1 2 31
"86" 2 24 19 1 41
"87" 2 8 19 2 23
"88" 2 10 14 2 23
"89" 2 11 25 2 20
"90" 1 11 22 2 8
"91" 1 4 12 2 28
"92" 1 12 18 2 7
"93" 2 11 15 2 46
"94" 1 15 16 1 14
"95" 2 24 5 1 36
"96" 1 14 13 2 36
"97" 2 2 20 1 16
"98" 2 9 24 1 37
"99" 2 9 21 1 21
"100" 2 7 5 2 10
"101" 1 7 24 2 38
"102" 2 25 19 1 44
"103" 1 18 21 1 37
"104" 2 1 9 2 41
"105" 2 4 21 2 30
"106" 1 2 14 2 44
"107" 2 6 20 1 40
"108" 1 20 13 2 20
"109" 1 4 18 1 39
"110" 1 13 25 1 20
"111" 2 16 2 1 41
"112" 2 16 20 1 21
"113" 2 13 14 1 28
"114" 2 6 25 2 43
"115" 1 1 23 2 14
"116" 2 3 5 1 27
"117" 1 5 7 2 23
"118" 1 18 3 2 21
"119" 1 5 25 2 35
"120" 2 5 15 2 31
"121" 1 6 25 1 9
"122" 2 2 3 2 16
"123" 2 10 19 1 38
"124" 2 7 21 1 22
"125" 2 23 14 1 28
"126" 1 17 10 2 30
"127" 2 7 12 1 44
"128" 1 18 20 2 40
"129" 2 21 2 1 27
"130" 1 15 2 2 11
"131" 2 9 15 1 10
"132" 1 16 16 1 19
"133" 1 1 16 2 35
"134" 1 8 17 1 23
"135" 2 12 14 2 15
"136" 2 22 23 2 38
"137" 1 25 7 1 7
"138" 2 23 22 2 15
"139" 1 4 10 1 13
"140" 2 8 19 1 45
"141" 1 19 15 2 15
"142" 2 19 22 1 11
"143" 2 16 5 1 17
"144" 2 25 23 1 7
"145" 1 8 24 1 42
"146" 1 11 15 1 11
"147" 1 2 22 1 22
"148" 2 15 22 1 9
"149" 2 10 6 1 41
"150" 2 21 15 2 21
"151" 2 19 11 1 34
"152" 2 24 3 1 22
"153" 1 24 18 1 18
"154" 1 21 1 1 11
"155" 1 6 14 2 7
"156" 1 14 3 1 17
"157" 1 21 16 2 27
"158" 1 17 17 2 20
"159" 2 21 10 2 43
"160" 2 10 13 1 9
"161" 1 21 21 1 7
